* 05149	VOP.	VOPADEVA'S Grammatik, nach BÖHTLINGK'S A
VOP. 26,30. 2
VOP. 9,5 2
VOP. 26,133 2
VOP. 19,1. 2
VOP. 26,150. 2
VOP. 26,146. 2
VOP. 26,7. 2
VOP. 26,111. 2
VOP. 26,113. 2
VOP. 26,69. 2
VOP. 26,46. 2
VOP. 8,87. 2
VOP. 8,87. 2
VOP. 26,98. 2
VOP. 18,10. 2
VOP. 20,15. 2
VOP. 3,143. 2
VOP. 9,33. 2
VOP. 18,1. 2
VOP. 26,30. 2
VOP. 26,155. 2
VOP. 9,36. fgg. 2
VOP. 9,37. 2
VOP. 26,68. 2
VOP. 7,84. 2
VOP. 4,31. 2
VOP. 4,6. 2
VOP. 4,7. 2
VOP. 4,7. 2
VOP. 4,17. 2
VOP. 4,17. 2
VOP. 6,29. 2
VOP. 6,62. 2
VOP. 7,41. 2
VOP. 7,44. 2
VOP. 7,46. 2
VOP. 6,69. 2
VOP. 7,71. 2
VOP. 26,12. 2
VOP. 6,13. 2
VOP. 8,65 2
VOP. 24,6. 2
VOP. 18,22. 2
VOP. 8,66 2
VOP. 8,66. 2
VOP. 26,3. 2
VOP. 21,7. 2
VOP. 21,6. 2
VOP. 23,45. 2
VOP. 23,45. 2
VOP. 1,2. 2
VOP. 23,46. 2
VOP. 26,30. 2
VOP. 26,46. 2
VOP. 7,66. 2
VOP. 4,15. 2
VOP. 3,12. 2
VOP. 26,30. 2
VOP. 26,169. 2
VOP. 26,142. 2
VOP. 26,192. 2
VOP. 26,15. 2
VOP. 26,186. 2
VOP. 21,12. 2
VOP. 22,2. 2
VOP. 8,80. 2
VOP. 26,154. 2
VOP. 23,24. 2
VOP. 4,12. 2
VOP. 26,36. 2
VOP. 12,2. 2
VOP. 12,2. 2
VOP. 18,17. 2
VOP. 5,6. 2
VOP. 8,22. 2
VOP. 21,17. 2
VOP. 20,14 2
VOP. 8,128 2
VOP. 3,151. 2
VOP. 26,30. 2
VOP. 8,37. 2
VOP. 8,35 2
VOP. 21,8 2
VOP. 26,174. 2
VOP. 26,11. 2
VOP. 25,15 2
VOP. 21,13. 2
VOP. 2,37. 2
VOP. 26,192. 2
VOP. 7,111. 2
VOP. 5,7. 2
VOP. 17,1 2
VOP. 26,191. 2
VOP. 7,32. 2
VOP. 21,17. 2
VOP. 21,8. 2
VOP. 26,35. 2
VOP. 26,3. 2
VOP. 6,62. 2
VOP. 21,8. 2
VOP. 7,84. 2
VOP. 25,19. 2
VOP. 25,19. 2
VOP. 25,7. 2
VOP. 25,31. 2
VOP. 26,3. 2
VOP. 18,2. 2
VOP. 5,19. 2
VOP. 26,191. 2
VOP. 19,15. 2
VOP. 8,38. 2
VOP. 26,70. 2
VOP. 26,114. 2
VOP. 21,17. 2
VOP. 26,70. 2
VOP. 11,3. 2
VOP. 8,87. 2
VOP. 26,120. 2
VOP. 18,6. 2
VOP. 26,192. 2
VOP. 26,152. 2
VOP. 3,151. 2
VOP. 26,33. 2
VOP. 9,27. 2
VOP. 9,28. 2
VOP. 9,28. 2
VOP. 26,127. 2
VOP. 26,71. 2
VOP. 26,155. 2
VOP. 26,153. 2
VOP. 18,22. 2
VOP. 22,2 2
VOP. 11,7. 2
VOP. 20,8. 2
VOP. 23,55. 2
VOP. 26,129. 2
VOP. 26,192. 2
VOP. 7,35. 2
VOP. 26,51. 2
VOP. 26,165. 2
VOP. 26,29. 2
VOP. 26,77. 2
VOP. 26,7. 2
VOP. 20,8. 2
VOP. 20,2 2
VOP. 26,12. 2
VOP. 20,8. 2
VOP. 20,2 2
VOP. 8,107. 2
VOP. 108,7, v. l. 2
VOP. 8,103. 2
VOP. 26,165. 2
VOP. 26,164. 2
VOP. 26,16. 2
VOP. 8,52. 2
VOP. 8,38. 2
VOP. 11,2. 2
VOP. 26,210. 2
VOP. 18,22. 2
VOP. 26,129. 2
VOP. 26,191. 2
VOP. 3,38. 2
VOP. 3,76. 2
VOP. 6,63. 2
VOP. 7,85. 2
VOP. 26,147. 2
VOP. 26,190. 2
VOP. 26,153. 2
VOP. 26,188. 2
VOP. 26,167. 2
VOP. 4,8. 2
VOP. 25,8. 2
VOP. 25,13. 2
VOP. 6,41. 2
VOP. 26,12. 2
VOP. 3,65. 2
VOP. 7,78. 2
VOP. 8,73. 2
VOP. 25,16. 2
VOP. 5,6. 2
VOP. 18,17. 2
VOP. 23,1. 2
VOP. 5,20. 2
VOP. 23,1. 2
VOP. 26,20. 2
VOP. 26,157. 2
VOP. 26,143. 2
VOP. 5,26. 2
VOP. 18,3. 2
VOP. 15,5. 2
VOP. 5,1. 2
VOP. 26,71. 2
VOP. 19,14 2
VOP. 26,71. 2
VOP. 26,185. 2
VOP. 26,75. 2
VOP. 26,32. 2
VOP. 4,7. 2
VOP. 8,70 2
VOP. 23,58 2
VOP. 5,27. 2
VOP. 5,24. 2
VOP. 26,114. 2
VOP. 23,57. 2
VOP. 23,57. 2
VOP. 23,35. 2
VOP. 23,37 2
VOP. 5,13. 2
VOP. 23,37. 2
VOP. 5,13. 2
VOP. 4,17. 2
VOP. 7,30. 2
VOP. 21,2. 2
VOP. 4,7. 2
VOP. 26,217. 2
VOP. 26,184. 2
VOP. 11,2. 2
VOP. 7,58. 2
VOP. 7,58. 2
VOP. 7,58. 2
VOP. 7,7. 2
VOP. 18,23 2
VOP. 26,36. 2
VOP. 8,60. 2
VOP. 8,119. 2
VOP. 26,107. 2
VOP. 18,1. 2
VOP. 24,12. 2
VOP. 26,12. 2
VOP. 8,74. 2
VOP. 8,74. 2
VOP. 8,75. 2
VOP. 8,75 2
VOP. 7,96. 2
VOP. 7,96. 2
VOP. 7,94. 2
VOP. 3,54. 2
VOP. 7,99. 2
VOP. 7,111. 2
VOP. 7,109. 2
VOP. 6,62. 2
VOP. 7,101. 2
VOP. 7,102. 2
VOP. 7,19. 2
VOP. 7,81. 2
VOP. 15,1. 2
VOP. 26,212 2
VOP. 26,107. 2
VOP. 19,8. 2
VOP. 6,13. 2
VOP. 4,31. 2
VOP. 26,70. 2
VOP. 11,1. 2
VOP. 3,80. 2
VOP. 8,65. 2
VOP. 23,21. 2
VOP. 23,21. 2
VOP. 24,4. 2
VOP. 23,20. 2
VOP. 23,20. 2
VOP. 23,20. 2
VOP. 23,20. 2
VOP. 21,13. 2
VOP. 6,81. 2
VOP. 8,100. 2
VOP. 8,100 2
VOP. 19,2. 2
VOP. 3,80. 2
VOP. 25,7. 2
VOP. 13,4. 2
VOP. 13,4. 2
VOP. 5,25. 2
VOP. 13,4. 2
VOP. 26,205. 2
VOP. 14,2. 2
VOP. 14,2. 2
VOP. 7,101. 2
VOP. 7,22 2
VOP. 26,140. 2
VOP. 23,30. 2
VOP. 7,15. 2
VOP. 1,4. 2
VOP. 7,22. 2
VOP. 7,22. 2
VOP. 7,69. 2
VOP. 7,94. 2
VOP. 15,5. 2
VOP. 26,81. 2
VOP. 4,12 2
VOP. 7,78. 2
VOP. 26,55. 2
VOP. 26,20. 2
VOP. 9,53. 2
VOP. 13,4. 2
VOP. 26,61. 2
VOP. 26,61. 2
VOP. 26,64. 2
VOP. 3,109. 2
VOP. 7,43. 2
VOP. 26,191. 2
VOP. 26,75. 2
VOP. 7,43. 2
VOP. 21,17. 2
VOP. 7,43. 2
VOP. 7,56. 2
VOP. 26,161. 2
VOP. 8,132. 2
VOP. 7,29. 2
VOP. 5,7. 2
VOP. 7,78. 2
VOP. 4,12. 2
VOP. 7,15. 2
VOP. 26,192. 2
VOP. 7,111. 2
VOP. 26,9. 2
VOP. 7,47. 2
VOP. 8,67. 2
VOP. 8,52 2
VOP. 26,145. 2
VOP. 5,20 2
VOP. 26,98. 2
VOP. 26,12. 2
VOP. 7,40. 2
VOP. 7,40. 2
VOP. 7,93. 2
VOP. 6,54. 2
VOP. 6,29. 2
VOP. 7,47. 2
VOP. 7,45. 2
VOP. 6,53. 2
VOP. 6,20. 2
VOP. 6,53. 2
VOP. 7,71. 2
VOP. 8,67. 2
VOP. 7,45. 2
VOP. 7,45. 2
VOP. 6,57. 2
VOP. 3,9. 2
VOP. 21,17. 2
VOP. 8,124. 2
VOP. 26,113. 2
VOP. 18,2. 2
VOP. 26,192. 2
VOP. 8,133. 2
VOP. 3,164. 2
VOP. 8,71 2
VOP. 8,102. 2
VOP. 8,102. 2
VOP. 20,19. 2
VOP. 26,68. 2
VOP. 7,206. 2
VOP. 6,69. 2
VOP. 7,106. 2
VOP. 5,7. 2
VOP. 5,23. 2
VOP. 7,92. 2
VOP. 5,6. 2
VOP. 6,33. 2
VOP. 6,14. 2
VOP. 26,155. 2
VOP. 26,71. 2
VOP. 5,26. 2
VOP. 3,95. 2
VOP. 21,5. 2
VOP. 26,71 2
VOP. 3,149 2
VOP. 21,5. 2
VOP. 8,103 2
VOP. 3,39 2
VOP. 1,4. 2
VOP. 26,153. 2
VOP. 26,114. 2
VOP. 23,58 2
VOP. 3,143. 2
VOP. 16,5. 2
VOP. 18,2. 2
VOP. 19,7. 2
VOP. 26,164. 2
VOP. 26,171. 2
VOP. 26,26. 2
VOP. 13,4. 2
VOP. 26,134. 2
VOP. 24,5 2
VOP. 5,5. 2
VOP. 23,38. 2
VOP. 5,5. 2
VOP. 23,38. 2
VOP. 23,57. 2
VOP. 23,14 2
VOP. 7,59. 2
VOP. 8,71. 2
VOP. 26,36. 2
VOP. 2,9. 2
VOP. 2,9. 2
VOP. 7,93. 2
VOP. 26,114 2
VOP. 8,80 2
VOP. 10,11 2
VOP. 26,133 2
VOP. 20,4. 2
VOP. 23,2. 2
VOP. 5,20. 2
VOP. 23,2. 2
VOP. 26,126. 2
VOP. 26,126. 2
VOP. 26,125. 2
VOP. 26,125. 2
VOP. 11,3. 2
VOP. 11,3. 2
VOP. 26,119. 2
VOP. 11,3. 2
VOP. 8,119. 2
VOP. 8,85. 2
VOP. 7,111. 2
VOP. 5,26. 2
VOP. 5,1. 2
VOP. 26,12. 2
VOP. 4,14. 2
VOP. 26,37. 2
VOP. 5,29. 2
VOP. 5,26. 2
VOP. 6,8. 2
VOP. 26,149 2
VOP. 26,36. 2
VOP. 26,135. 2
VOP. 5,15. 2
VOP. 26,189. 2
VOP. 26,71. 2
VOP. 3,151, v. l. 2
VOP. 3,151. 2
VOP. 11,1 2
VOP. 26,132. 2
VOP. 26,207 2
VOP. 5,8. 2
VOP. 20,17. 2
VOP. 6,62 2
VOP. 6,62. 2
VOP. 4,2. 2
VOP. 11,6. 2
VOP. 3,59. 2
VOP. 26,107. 2
VOP. 18,3. 2
VOP. 26,158. 2
VOP. 7,56. 2
VOP. 7,56. 2
VOP. 6,46. 2
VOP. 26,96. 2
VOP. 7,90. 2
VOP. 21,10. 2
VOP. 26,197. 2
VOP. 6,13. 2
VOP. 6,27. 2
VOP. 26,199. 2
VOP. 26,199. 2
VOP. 26,173, v. l. 2
VOP. 26,173. 2
VOP. 26,199. 2
VOP. 26,199. 2
VOP. 18,20. 2
VOP. 18,21. 2
VOP. 8,22 2
VOP. 26,197. 2
VOP. 26,198. 2
VOP. 6,26. 2
VOP. 6,25. 2
VOP. 9,46 2
VOP. 5,6. 2
VOP. 3,100. 2
VOP. 6,13. 2
VOP. 26,19. 2
VOP. 5,22. 2
VOP. 7,56. 2
VOP. 7,56. 2
VOP. 5,22. 2
VOP. 26,63, v. l. 2
VOP. 26,63, v. l. 2
VOP. 26,166. 2
VOP. 26,48. 2
VOP. 3,134. 2
VOP. 26,5. 2
VOP. 7,86. 2
VOP. 26,29. 2
VOP. 25,9. 2
VOP. 7,98. 2
VOP. 7,98 2
VOP. 26,79. 2
VOP. 26,43. 2
VOP. 26,48. 2
VOP. 3,134. 2
VOP. 7,63. 2
VOP. 26,192 2
VOP. 7,27. 2
VOP. 3,151 2
VOP. 26,19. 2
VOP. 8,120 2
VOP. 8,119. 2
VOP. 26,207 2
VOP. 26,105. 2
VOP. 19,1. 2
VOP. 26,41. 2
VOP. 4,17. 2
VOP. 26,164, v. l. 2
VOP. 9,32 2
VOP. 9,33 2
VOP. 9,33 2
VOP. 26,107. 2
VOP. 19,8. 2
VOP. 22,2. 2
VOP. 19,15. 2
VOP. 5,15. 2
VOP. 3,101. 2
VOP. 26,71. 2
VOP. 26,55. 2
VOP. 6,35. 2
VOP. 4,7 2
VOP. 7,47. 2
VOP. 7,92. 2
VOP. 7,89. 2
VOP. 7,47. 2
VOP. 7,43. 2
VOP. 7,89. 2
VOP. 26,155. 2
VOP. 14,1. 2
VOP. 26,33. 2
VOP. 6,53. 2
VOP. 6,85. 2
VOP. 7,87. 2
VOP. 1,17. 2
VOP. 7,69. 2
VOP. 9,46. 2
VOP. 7,71. 2
VOP. 6,70. 2
VOP. 7,45. 2
VOP. 7,45. 2
VOP. 7,11. 2
VOP. 5,34. 2
VOP. 3,169. 2
VOP. 26,60. 2
VOP. 21,5. 2
VOP. 8,70 2
VOP. 8,87 2
VOP. 20,15. 2
VOP. 5,15. 2
VOP. 19,7. 2
VOP. 26,171. 2
VOP. 21,9. 2
VOP. 6,28. 2
VOP. 21,9. 2
VOP. 26,111. 2
VOP. 26,104 2
VOP. 5,373. 2
VOP. 13,5473 2
VOP. 26,169. 2
VOP. 8,25 2
VOP. 10,12 2
VOP. 26,122 2
VOP. 5,26. 2
VOP. 5,20. 2
VOP. 21,17. 2
VOP. 8,86 2
VOP. 26,124. 2
VOP. 23,58 2
VOP. 5,5. 2
VOP. 26,37. 2
VOP. 26,11. 2
VOP. 26,11. 2
VOP. 26,35. 2
VOP. 26,191. 2
VOP. 26,191. 2
VOP. 26,191. 2
VOP. 26,149. 2
VOP. 7,21. 2
VOP. 5,7. 2
VOP. 9,44. fgg. 2
VOP. 26,73. 2
VOP. 4,13. 2
VOP. 6,73. 2
VOP. 6,73 2
VOP. 18,12. 2
VOP. 18,16. 2
VOP. 18,12. 2
VOP. 21,11. 2
VOP. 7,21. 2
VOP. 26,161. 2
VOP. 26,145. 2
VOP. 6,8. 2
VOP. 26,25. 2
VOP. 26,25. 2
VOP. 26,25. 2
VOP. 4,6. 2
VOP. 26,130. 2
VOP. 6,14. 2
VOP. 20,7. 2
VOP. 21,17. 2
VOP. 26,111. 2
VOP. 18,1. 2
VOP. 19,3. 2
VOP. 6,9 2
VOP. 6,36. 2
VOP. 8,43. 2
VOP. 26,55. 2
VOP. 26,33 2
VOP. 26,62. 2
VOP. 26,63. 2
VOP. 26,63. 2
VOP. 6,9. 2
VOP. 8,43 2
VOP. 8,52. 2
VOP. 6,85. 2
VOP. 6,68. 2
VOP. 26,220. 2
VOP. 26,68. 2
VOP. 3,65. 2
VOP. 8,43. 2
VOP. 26,29. 2
VOP. 26,165. 2
VOP. 3,65 2
VOP. 3,5. 2
VOP. 8,119. 2
VOP. 24,12 2
VOP. 8,71. 2
VOP. 8,71. 2
VOP. 24,12. 2
VOP. 18,23 2
VOP. 5,16 2
VOP. 21,13. 2
VOP. 26,158. 2
VOP. 26,36. 2
VOP. 3,67. 2
VOP. 2,35. 2
VOP. 11,2 2
VOP. 23,58. 2
VOP. 19,2. 2
VOP. 20,11. 2
VOP. 26,38. 2
VOP. 26,38. 2
VOP. 11,1. 2
VOP. 8,43. 2
VOP. 11,5. 2
VOP. 11,5. 2
VOP. 26,207 2
VOP. 22,2 2
VOP. 11,5 2
VOP. 3,149. 2
VOP. 26,33, v. l. 2
VOP. 26,157. 2
VOP. 11,7 2
VOP. 21,17. 2
VOP. 4,26 2
VOP. 4,26 2
VOP. 7,15. 2
VOP. 7,8. 2
VOP. 7,8. 2
VOP. 7,8. 2
VOP. 26,54. 2
VOP. 26,54. 2
VOP. 23,7. 2
VOP. 8,43. 2
VOP. 26,48. 2
VOP. 7,15. 2
VOP. 5,10. 2
VOP. 6,9. 2
VOP. 6,23. 2
VOP. 25,15. 2
VOP. 26,36. 2
VOP. 4,26. 2
VOP. 21,2. 2
VOP. 26,54. 2
VOP. 26,54. 2
VOP. 5,7. 2
VOP. 26,174. 2
VOP. 26,11. 2
VOP. 10,8. 2
VOP. 2,5. 2
VOP. 25,9 2
VOP. 25,10 2
VOP. 8,22 2
VOP. 8,22 2
VOP. 26,186. 2
VOP. 11,3, v. l. 2
VOP. 26,11. 2
VOP. 6,8. 2
VOP. 26,160. 2
VOP. 5,29. 2
VOP. 25,22. 2
VOP. 26,219. 2
VOP. 26,10 2
VOP. 26,10. 2
VOP. 2,28. 2
VOP. 26,142. 2
VOP. 3,38. 2
VOP. 19,11. 2
VOP. 7,96. 2
VOP. 8,75. 2
VOP. 26,101. 2
VOP. 26,101 2
VOP. 26,171. 2
VOP. 15,5. 2
VOP. 8,128 2
VOP. 18,22 2
VOP. 18,22. 2
VOP. 6,86. 2
VOP. 6,80. 2
VOP. 26,186. 2
VOP. 26,201. 2
VOP. 7,90. 2
VOP. 25,31. 2
VOP. 7,91. 2
VOP. 6,86. 2
VOP. 23,35. 2
VOP. 5,6. 2
VOP. 23,28 2
VOP. 5,5. 2
VOP. 5,26. 2
VOP. 23,28 2
VOP. 23,8. 2
VOP. 23,28. 2
VOP. 23,29 2
VOP. 23,28. 2
VOP. 23,28. 2
VOP. 19,14. 2
VOP. 23,1. 2
VOP. 26,98. 2
VOP. 26,68. 2
VOP. 25,1. 2
VOP. 26,68. 2
VOP. 6,30. 2
VOP. 21,16. 2
VOP. 7,56. 2
VOP. 7,56. 2
VOP. 3,9. 2
VOP. 3,12. 2
VOP. 25,12. 2
VOP. 3,82. 2
VOP. 26,99. 2
VOP. 3,30 2
VOP. 6,9 2
VOP. 26,144. 2
VOP. 26,33. 2
VOP. 3,152 2
VOP. 26,20. 2
VOP. 26,20. 2
VOP. 24,11. 2
VOP. 26,55. 2
VOP. 26,192. 2
VOP. 26,24. 2
VOP. 6,54 2
VOP. 6,85. 2
VOP. 6,22. 2
VOP. 26,30 2
VOP. 26,16. 2
VOP. 6,78. 2
VOP. 8,125 2
VOP. 26,107. 2
VOP. 20,7. 2
VOP. 2,13. 2
VOP. 8,22. 2
VOP. 26,30. 2
VOP. 26,61. 2
VOP. 26,61. 2
VOP. 2,13. 2
VOP. 26,148. 2
VOP. 26,30. 2
VOP. 3,53. 2
VOP. 26,60. 2
VOP. 4,26. 2
VOP. 26,190, v. l. 2
VOP. 4,26. 2
VOP. 8,116 2
VOP. 11,7 2
VOP. 20,7. 2
VOP. 2,20. 2
VOP. 26,179. 2
VOP. 18,18. 2
VOP. 7,85. 2
VOP. 7,85. 2
VOP. 7,86. 2
VOP. 7,88. 2
VOP. 4,17. 2
VOP. 5,20. 2
VOP. 15,5. 2
VOP. 7,15. 2
VOP. 6,8. 2
VOP. 4,27. 2
VOP. 6,87. 2
VOP. 6,23. 2
VOP. 8,110. 2
VOP. 21,7. 2
VOP. 21,7. 2
VOP. 26,182. 2
VOP. 10,4 2
VOP. 10,5. 2
VOP. 5,25 2
VOP. 26,144. 2
VOP. 26,144. 2
VOP. 3,9. 2
VOP. 3,37. 2
VOP. 3,12. 2
VOP. 2,45. 2
VOP. 6,47. 2
VOP. 6,34. 2
VOP. 6,37. 2
VOP. 8,53. 2
VOP. 7,104. 2
VOP. 1,8. 2
VOP. 5,20 2
VOP. 7,110. 2
VOP. 5,31. 2
VOP. 1,8. 2
VOP. 5,7. 2
VOP. 5,7. 2
VOP. 5,7. 2
VOP. 5,7. 2
VOP. 5,21. 2
VOP. 5,21. 2
VOP. 26,101. 2
VOP. 26,11. 2
VOP. 5,7. 2
VOP. 26,78. 2
VOP. 26,144. 2
VOP. 3,134. 2
VOP. 26,111. 2
VOP. 7,59 2
VOP. 26,188. 2
VOP. 26,78. 2
VOP. 7,110. 2
VOP. 7,111. 2
VOP. 7,110. 2
VOP. 6,65. 2
VOP. 6,61. 2
VOP. 4,27 2
VOP. 26,62. 2
VOP. 26,63. 2
VOP. 26,169. 2
VOP. 8,70 2
VOP. 23,14. 2
VOP. 20,8. 2
VOP. 7,110. 2
VOP. 5,23 2
VOP. 6,61. 2
VOP. 3,132. 2
VOP. 8,70. 2
VOP. 8,25 2
VOP. 8,85 2
VOP. 26,212 2
VOP. 18,7. 2
VOP. 5,12. 2
VOP. 20,4. 2
VOP. 26,212. 2
VOP. 25,24. 2
VOP. 7,90. 2
VOP. 7,75. 2
VOP. 26,8. 2
VOP. 6,34. 2
VOP. 6,14. 2
VOP. 7,24. 2
VOP. 26,9. 2
VOP. 26,30. 2
VOP. 26,30. 2
VOP. 8,62. 2
VOP. 15,5. 2
VOP. 7,15. 2
VOP. 26,54. 2
VOP. 26,54. 2
VOP. 7,6. 2
VOP. 4,16 2
VOP. 6,84. 2
VOP. 26,146. 2
VOP. 6,53. 2
VOP. 26,170. 2
VOP. 7,69. 2
VOP. 26,27. 2
VOP. 26,146. 2
VOP. 26,46. 2
VOP. 26,154. 2
VOP. 21,10, v. l. 2
VOP. 4,3. 2
VOP. 4,3. 2
VOP. 26,11. 2
VOP. 26,35. 2
VOP. 18,11. 2
VOP. 7,65. 2
VOP. 4,15. 2
VOP. 6,45. 2
VOP. 6,5. 2
VOP. 7,20. 2
VOP. 3,171. 2
VOP. 3,151. 2
VOP. 3,151. 2
VOP. 8,118. 2
VOP. 8,117. 2
VOP. 26,116. 2
VOP. 8,118. 2
VOP. 26,117. 2
VOP. 6,7. 2
VOP. 18,3. 2
VOP. 26,192. 2
VOP. 3,94 2
VOP. 7,78. 2
VOP. 3,70 2
VOP. 2,33. 2
VOP. 2,33. 2
VOP. 6,46. 2
VOP. 4,7. 2
VOP. 21,1. 2
VOP. 21,18. 2
VOP. 3,154. 2
VOP. 2,33. 2
VOP. 3,126. 2
VOP. 6,69. 2
VOP. 26,60. 2
VOP. 7,108. 2
VOP. 8,21. 2
VOP. 26,47. 2
VOP. 25,3. 2
VOP. 3,155. 2
VOP. 6,56 2
VOP. 26,65. 2
VOP. 18,17. 2
VOP. 3,143. 2
VOP. 26,20. 2
VOP. 4,15 2
VOP. 26,53. 2
VOP. 16,2. 2
VOP. 26,95 2
VOP. 26,103. fg. 2
VOP. 19,7. 2
VOP. 19,14. 2
VOP. 7,42. 2
VOP. 26,131. 2
VOP. 3,143. 2
VOP. 26,192. 2
VOP. 4,25. 2
VOP. 4,25. 2
VOP. 5,6. 2
VOP. 6,87. 2
VOP. 7,36. 2
VOP. 6,12. 2
VOP. 26,184. 2
VOP. 5,21. 2
VOP. 5,23. 2
VOP. 6,16. 2
VOP. 6,46. 2
VOP. 6,43. 2
VOP. 6,38. fg. 2
VOP. 7,105. 2
VOP. 7,103. 2
VOP. 4,16 2
VOP. 5,10. 2
VOP. 3,41. 2
VOP. 10,9. 2
VOP. 7,59. 2
VOP. 7,59. 2
VOP. 26,156. 2
VOP. 23,7. 2
VOP. 3,65. 2
VOP. 7,12. 2
VOP. 7,16. 2
VOP. 20,1. 2
VOP. 6,68. 2
VOP. 4,2. 2
VOP. 7,15. 2
VOP. 11,7, v. l. 2
VOP. 1,8. 2
VOP. 26,4. 2
VOP. 26,4. 2
VOP. 26,212. 2
VOP. 23,8. 2
VOP. 26,183. 2
VOP. 1,16. 2
VOP. 26,4. 2
VOP. 18,17. 2
VOP. 9,11. 2
VOP. 26,4. 2
VOP. 26,4. 2
VOP. 26,4. 2
VOP. 26,15. 2
VOP. 26,20, v. l. 2
VOP. 26,171. 2
VOP. 5,6. 2
VOP. 23,1. 2
VOP. 23,14. 2
VOP. 26,142. 2
VOP. 6,26 2
VOP. 6,26. 2
VOP. 26,11. 2
VOP. 23,52. 2
VOP. 1,8. 2
VOP. 5,21. 2
VOP. 5,7. 2
VOP. 5,21. 2
VOP. 5,7. 2
VOP. 26,19. 2
VOP. 23,8. 2
VOP. 23,44. 2
VOP. 5,21. 2
VOP. 5,21. 2
VOP. 5,29. 2
VOP. 6,76. 2
VOP. 6,61. 2
VOP. 6,76. 2
VOP. 6,65. 2
VOP. 4,12 2
VOP. 6,82. 2
VOP. 18,2. 2
VOP. 3,12. 2
VOP. 3,96. 2
VOP. 26,4. 2
VOP. 26,29. 2
VOP. 11,7, v. l. 2
VOP. 26,4. 2
VOP. 26,101. 2
VOP. 5,1. 2
VOP. 26,4. 2
VOP. 26,4. 2
VOP. 26,168. 2
VOP. 5,21. 2
VOP. 5,7. 2
VOP. 26,156. 2
VOP. 26,193. 2
VOP. 5,20. 2
VOP. 26,4. 2
VOP. 26,4. 2
VOP. 25,30. 2
VOP. 26,219. 2
VOP. 8,33. 2
VOP. 26,10. 2
VOP. 2,4. 2
VOP. 26,173. 2
VOP. 23,39. 2
VOP. 2,4. 2
VOP. 26,41. 2
VOP. 26,9. 2
VOP. 26,171 2
VOP. 26,4 2
VOP. 26,4. 2
VOP. 26,189. 2
VOP. 7,57. fg. 2
VOP. 26,180. 2
VOP. 21,14. 2
VOP. 26,174. 2
VOP. 26,64. 2
VOP. 23,2. 2
VOP. 26,100. 2
VOP. 9,11, v. l. 2
VOP. 26,183. 2
VOP. 26,33. 2
VOP. 26,170. 2
VOP. 4,15. 2
VOP. 26,71. 2
VOP. 7,32. fg. 2
VOP. 3,146. 2
VOP. 7,104. 2
VOP. 3,131. 2
VOP. 25,18. 2
VOP. 26,69. 2
VOP. 7,90. 2
VOP. 6,58 2
VOP. 9,24. 2
VOP. 6,61. 2
VOP. 6,83. 2
VOP. 15,5. 2
VOP. 4,15. 2
VOP. 6,70. 2
VOP. 25,22. 2
VOP. 2,4. 2
VOP. 2,9. 2
VOP. 2,4. 2
VOP. 26,170. 2
VOP. 7,51. 2
VOP. 26,32. 2
VOP. 7,56. 2
VOP. 7,56. 2
VOP. 26,57. 2
VOP. 26,58. 2
VOP. 26,58. 2
VOP. 26,62. 2
VOP. 26,63. 2
VOP. 26,63. 2
VOP. 7,91. 2
VOP. 18,12. 2
VOP. 18,12. 2
VOP. 22,2. 2
VOP. 19,15. 2
VOP. 2,4. 2
VOP. 26,4. 2
VOP. 18,1. 2
VOP. 2,12. 2
VOP. 2,12. 2
VOP. 2,4. 2
VOP. 2,12. 2
VOP. 2,12. 2
VOP. 2,4. 2
VOP. 2,4. 2
VOP. 2,11. 2
VOP. 2,11. 2
VOP. 2,11. 2
VOP. 26,61. 2
VOP. 26,61. 2
VOP. 19,15. 2
VOP. 9,6. 2
VOP. 9,5 2
VOP. 18,24. 2
VOP. 20,10. 2
VOP. 2,47. 2
VOP. 7,80. 2
VOP. 4,15. 2
VOP. 6,43. 2
VOP. 23,58. 2
VOP. 7,32. fg. 2
VOP. 26,48. 2
VOP. 26,111. 2
VOP. 26,183. 2
VOP. 26,101. 2
VOP. 21,11. 2
VOP. 7,32. fg. 2
VOP. 7,56. 2
VOP. 7,56. 2
VOP. 7,35. 2
VOP. 7,32. fg. 2
VOP. 8,127. 2
VOP. 7,7 2
VOP. 7,7. 2
VOP. 7,32. fg. 2
VOP. 5,6. 2
VOP. 6,24. 2
VOP. 5,21. 2
VOP. 4,28. 2
VOP. 7,64 2
VOP. 7,42. 2
VOP. 7,9. 2
VOP. 7,109. 2
VOP. 6,14. 2
VOP. 26,69. 2
VOP. 4,4. 2
VOP. 4,5. 2
VOP. 26,220. 2
VOP. 7,68. 2
VOP. 6,75. 2
VOP. 6,75. 2
VOP. 26,111. 2
VOP. 7,56. 2
VOP. 26,2. 2
VOP. 26,2. 2
VOP. 7,7. 2
VOP. 4,28. 2
VOP. 6,13. 2
VOP. 6,33. 2
VOP. 7,16. 2
VOP. 7,1. 2
VOP. 6,33. 2
VOP. 7,16. 2
VOP. 26,20. 2
VOP. 1,17 2
VOP. 7,89. 2
VOP. 25,1. 2
VOP. 26,183. 2
VOP. 22,2. 2
VOP. 5,5. 2
VOP. 3,132. 2
VOP. 6,44. 2
VOP. 26,220. 2
VOP. 26,23. 2
VOP. 26,21. 2
VOP. 6,78. 2
VOP. 4,23. 2
